Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
quest_Mechanic3_desc,,,,,"Collect basics to get started.","Reúne elementos básicos para empezar a trabajar.",,
quest_Mechanic3_subtitle,,,,,"Handyman 3/5","El Manitas 3/5",,
quest_Mechanic4,,,,,"Mechanic & Electricity Class 4/30","Clase Mecánica y Electricidad 4/30",,
quest_Mechanic4_desc,,,,,"Collect basics to get started.","Reúne elementos básicos para empezar a trabajar.",,
quest_Mechanic4_subtitle,,,,,"Handyman 4/5","El Manitas 4/5",,
quest_Mechanic5,,,,,"Mechanic & Electricity Class 5/30","Clase Mecánica y Electricidad 5/30",,
quest_Mechanic5_desc,,,,,"Collect basics to get started.","Reúne elementos básicos para empezar a trabajar.",,
quest_Mechanic5_subtitle,,,,,"Handyman 5/5","El Manitas 5/5",,
quest_Mechanic6,,,,,"Mechanic & Electricity Class 6/30","Clase Mecánica y Electricidad 6/30",,
quest_Mechanic6_desc,,,,,"Get materials for your toolbox.","Consigue materiales para tu caja de herramientas.",,
quest_Mechanic6_subtitle,,,,,"Toolbox 1/11","Caja de Herramientas 1/11",,
quest_Mechanic7,,,,,"Mechanic & Electricity Class 7/30","Clase Mecánica y Electricidad 7/30",,
quest_Mechanic7_desc,,,,,"Get materials for your toolbox.","Consigue materiales para tu caja de herramientas.",,
quest_Mechanic7_subtitle,,,,,"Toolbox 2/11","Caja de Herramientas 2/11",,
quest_Mechanic8,,,,,"Mechanic & Electricity Class 9/30","Clase Mecánica y Electricidad 8/30",,
quest_Mechanic8_desc,,,,,"Get materials for your toolbox.","Consigue materiales para tu caja de herramientas.",,
quest_Mechanic8_subtitle,,,,,"Toolbox 3/11","Caja de Herramientas 3/11",,
quest_Mechanic9,,,,,"Mechanic & Electricity Class 9/30","Clase Mecánica y Electricidad 9/30",,
quest_Mechanic9_desc,,,,,"Get materials for your toolbox.","Consigue materiales para tu caja de herramientas.",,
quest_Mechanic9_subtitle,,,,,"Toolbox 4/11","Caja de Herramientas 4/11",,
quest_Mechanic10,,,,,"Mechanic & Electricity Class 10/30","Clase Mecánica y Electricidad 10/30",,
quest_Mechanic10_desc,,,,,"Get materials for your toolbox.","Consigue materiales para tu caja de herramientas.",,
quest_Mechanic10_subtitle,,,,,"Toolbox 5/11","Caja de Herramientas 5/11",,
quest_Mechanic11,,,,,"Mechanic & Electricity Class 11/30","Clase Mecánica y Electricidad 11/30",,
quest_Mechanic11_desc,,,,,"Get materials for your toolbox.","Consigue materiales para tu caja de herramientas.",,
quest_Mechanic11_subtitle,,,,,"Toolbox 6/11","Caja de Herramientas 6/11",,
quest_Mechanic12,,,,,"Mechanic & Electricity Class 12/30","Clase Mecánica y Electricidad 12/30",,
quest_Mechanic12_desc,,,,,"Get materials for your toolbox.","Consigue materiales para tu caja de herramientas.",,
quest_Mechanic12_subtitle,,,,,"Toolbox 7/11","Caja de Herramientas 7/11",,
quest_Mechanic13,,,,,"Mechanic & Electricity Class 13/30","Clase Mecánica y Electricidad 13/30",,
quest_Mechanic13_desc,,,,,"Get materials for your toolbox.","Consigue materiales para tu caja de herramientas.",,
quest_Mechanic13_subtitle,,,,,"Toolbox 8/11","Caja de Herramientas 8/11",,
quest_Mechanic14,,,,,"Mechanic & Electricity Class 14/30","Clase Mecánica y Electricidad 14/30",,
quest_Mechanic14_desc,,,,,"Get materials for your toolbox.","Consigue materiales para tu caja de herramientas.",,
quest_Mechanic14_subtitle,,,,,"Toolbox 9/11","Caja de Herramientas 9/11",,
quest_Mechanic15,,,,,"Mechanic & Electricity Class 15/30","Clase Mecánica y Electricidad 15/30",,
quest_Mechanic15_desc,,,,,"Get materials for your toolbox.","Consigue materiales para tu caja de herramientas.",,
quest_Mechanic15_subtitle,,,,,"Toolbox 10/11","Caja de Herramientas 10/11",,
quest_Mechanic16,,,,,"Mechanic & Electricity Class 16/30","Clase Mecánica y Electricidad 16/30",,
quest_Mechanic16_desc,,,,,"Get materials for your toolbox.","Consigue materiales para tu caja de herramientas.",,
quest_Mechanic16_subtitle,,,,,"Toolbox 11/11","Caja de Herramientas 11/11",,
quest_Mechanic17,,,,,"Mechanic & Electricity Class 17/30","Clase Mecánica y Electricidad 17/30",,
quest_Mechanic17_desc,,,,,"Time to start engines and get serious.","Hora de arrancar motores y ponerse serios.",,
quest_Mechanic17_subtitle,,,,,"Start Your Engines 1/6","Arrancando Motores 1/6",,
quest_Mechanic18,,,,,"Mechanic & Electricity Class 18/30","Clase Mecánica y Electricidad 18/30",,
quest_Mechanic18_desc,,,,,"Time to start engines and get serious.","Hora de arrancar motores y ponerse serios.",,
quest_Mechanic18_subtitle,,,,,"Start Your Engines 2/6","Arrancando Motores 2/6",,
quest_Mechanic19,,,,,"Mechanic & Electricity Class 19/30","Clase Mecánica y Electricidad 19/30",,
quest_Mechanic19_desc,,,,,"Time to start engines and get serious.","Hora de arrancar motores y ponerse serios.",,
quest_Mechanic19_subtitle,,,,,"Start Your Engines 3/6","Arrancando Motores 3/6",,
quest_Mechanic20,,,,,"Mechanic & Electricity Class 20/30","Clase Mecánica y Electricidad 20/30",,
quest_Mechanic20_desc,,,,,"Time to start engines and get serious.","Hora de arrancar motores y ponerse serios.",,
quest_Mechanic20_subtitle,,,,,"Start Your Engines 4/6","Arrancando Motores 4/6",,
quest_Mechanic21,,,,,"Mechanic & Electricity Class 21/30","Clase Mecánica y Electricidad 21/30",,
quest_Mechanic21_desc,,,,,"Time to start engines and get serious.","Hora de arrancar motores y ponerse serios.",,
quest_Mechanic21_subtitle,,,,,"Start Your Engines 5/6","Arrancando Motores 5/6",,
quest_Mechanic22,,,,,"Mechanic & Electricity Class 22/30","Clase Mecánica y Electricidad 22/30",,
quest_Mechanic22_desc,,,,,"Time to start engines and get serious.","Hora de arrancar motores y ponerse serios.",,
quest_Mechanic22_subtitle,,,,,"Start Your Engines 6/6","Arrancando Motores 6/6",,
quest_Mechanic23,,,,,"Mechanic & Electricity Class 23/30","Clase Mecánica y Electricidad 23/30",,
quest_Mechanic23_desc,,,,,"A little electricity, that base is not alone to defend.","Un poco de electricidad, esa base no va a defenderse sola.",,
quest_Mechanic23_subtitle,,,,,"Electricity 1/6","Electricidad 1/6",,
quest_Mechanic24,,,,,"Mechanic & Electricity Class 24/30","Clase Mecánica y Electricidad 24/30",,
quest_Mechanic24_desc,,,,,"A little electricity, that base is not alone to defend.","Un poco de electricidad, esa base no va a defenderse sola.",,
quest_Mechanic24_subtitle,,,,,"Electricity 2/6","Electricidad 2/6",,
quest_Mechanic25,,,,,"Mechanic & Electricity Class 25/30","Clase Mecánica y Electricidad 25/30",,
quest_Mechanic25_desc,,,,,"A little electricity, that base is not alone to defend.","Un poco de electricidad, esa base no va a defenderse sola.",,
quest_Mechanic25_subtitle,,,,,"Electricity 3/6","Electricidad 3/6",,
quest_Mechanic26,,,,,"Mechanic & Electricity Class 26/30","Clase Mecánica y Electricidad 26/30",,
quest_Mechanic26_desc,,,,,"A little electricity, that base is not alone to defend.","Un poco de electricidad, esa base no va a defenderse sola.",,
quest_Mechanic26_subtitle,,,,,"Electricity 4/6","Electricidad 4/6",,
quest_Mechanic27,,,,,"Mechanic & Electricity Class 27/30","Clase Mecánica y Electricidad 27/30",,
quest_Mechanic27_desc,,,,,"A little electricity, that base is not alone to defend.","Un poco de electricidad, esa base no va a defenderse sola.",,
quest_Mechanic27_subtitle,,,,,"Electricity 5/6","Electricidad 5/6",,
quest_Mechanic28,,,,,"Mechanic & Electricity Class 28/30","Clase Mecánica y Electricidad 28/30",,
quest_Mechanic28_desc,,,,,"A little electricity, that base is not alone to defend.","Un poco de electricidad, esa base no va a defenderse sola.",,
quest_Mechanic28_subtitle,,,,,"Electricity 6/6","Electricidad 6/6",,
quest_Mechanic29,,,,,"Mechanic & Electricity Class 29/30","Clase Mecánica y Electricidad 29/30",,
quest_Mechanic29_desc,,,,,"The definitive machine, you will never lack minerals again.","La máquina definitiva, Nunca más te faltaran minerales. ",,
quest_Mechanic29_subtitle,,,,,"The Machine 1/2","La Máquina 1/2",,
quest_Mechanic30,,,,,"Mechanic & Electricity Class 30/30","Clase Mecánica y Electricidad 30/30",,
quest_Mechanic30_desc,,,,,"The definitive machine, you will never lack minerals again.","La máquina definitiva, Nunca más te faltaran minerales. ",,
quest_Mechanic30_subtitle,,,,,"The Machine 2/2","La Máquina 2/2",,
quest_Soldier,,,,,"Soldier Class","Clase Soldado",,
quest_Soldier1,,,,,"Soldier Class 1/100","Clase Soldado 1/100",,
quest_Soldier1_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier1_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier2,,,,,"Soldier Class 2/100","Clase Soldado 2/100",,
quest_Soldier2_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier2_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier3,,,,,"Soldier Class 3/100","Clase Soldado 3/100",,
quest_Soldier3_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier3_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier4,,,,,"Soldier Class 4/100","Clase Soldado 4/100",,
quest_Soldier4_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier4_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier5,,,,,"Soldier Class 5/100","Clase Soldado 5/100",,
quest_Soldier5_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier5_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier6,,,,,"Soldier Class 6/100","Clase Soldado 6/100",,
quest_Soldier6_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier6_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier7,,,,,"Soldier Class 7/100","Clase Soldado 7/100",,
quest_Soldier7_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier7_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier8,,,,,"Soldier Class 8/100","Clase Soldado 8/100",,
quest_Soldier8_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier8_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier9,,,,,"Soldier Class 9/100","Clase Soldado 9/100",,
quest_Soldier9_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier9_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier10,,,,,"Soldier Class 10/100","Clase Soldado 10/100",,
quest_Soldier10_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier10_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier11,,,,,"Soldier Class 11/100","Clase Soldado 11/100",,
quest_Soldier11_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier11_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier12,,,,,"Soldier Class 12/100","Clase Soldado 12/100",,
quest_Soldier12_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier12_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier13,,,,,"Soldier Class 13/100","Clase Soldado 13/100",,
quest_Soldier13_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier13_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier14,,,,,"Soldier Class 14/100","Clase Soldado 14/100",,
quest_Soldier14_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier14_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier15,,,,,"Soldier Class 15/100","Clase Soldado 15/100",,
quest_Soldier15_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier15_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier16,,,,,"Soldier Class 16/100","Clase Soldado 16/100",,
quest_Soldier16_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier16_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier17,,,,,"Soldier Class 17/100","Clase Soldado 17/100",,
quest_Soldier17_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier17_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier18,,,,,"Soldier Class 18/100","Clase Soldado 18/100",,
quest_Soldier18_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier18_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier19,,,,,"Soldier Class 19/100","Clase Soldado 19/100",,
quest_Soldier19_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier19_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier20,,,,,"Soldier Class 20/100","Clase Soldado 20/100",,
quest_Soldier20_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier20_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier21,,,,,"Soldier Class 21/100","Clase Soldado 21/100",,
quest_Soldier21_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier21_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier22,,,,,"Soldier Class 22/100","Clase Soldado 22/100",,
quest_Soldier22_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier22_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier23,,,,,"Soldier Class 23/100","Clase Soldado 23/100",,
quest_Soldier23_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier23_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier24,,,,,"Soldier Class 24/100","Clase Soldado 24/100",,
quest_Soldier24_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier24_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier25,,,,,"Soldier Class 25/100","Clase Soldado 25/100",,
quest_Soldier25_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier25_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier26,,,,,"Soldier Class 26/100","Clase Soldado 26/100",,
quest_Soldier26_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier26_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier27,,,,,"Soldier Class 27/100","Clase Soldado 27/100",,
quest_Soldier27_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier27_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier28,,,,,"Soldier Class 28/100","Clase Soldado 28/100",,
quest_Soldier28_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier28_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier29,,,,,"Soldier Class 29/100","Clase Soldado 29/100",,
quest_Soldier29_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier29_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier30,,,,,"Soldier Class 30/100","Clase Soldado 30/100",,
quest_Soldier30_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier30_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier31,,,,,"Soldier Class 31/100","Clase Soldado 31/100",,
quest_Soldier31_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier31_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier32,,,,,"Soldier Class 32/100","Clase Soldado 32/100",,
quest_Soldier32_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier32_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier33,,,,,"Soldier Class 33/100","Clase Soldado 33/100",,
quest_Soldier33_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier33_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier34,,,,,"Soldier Class 34/100","Clase Soldado 34/100",,
quest_Soldier34_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier34_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier35,,,,,"Soldier Class 35/100","Clase Soldado 35/100",,
quest_Soldier35_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier35_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier36,,,,,"Soldier Class 36/100","Clase Soldado 36/100",,
quest_Soldier36_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier36_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier37,,,,,"Soldier Class 37/100","Clase Soldado 37/100",,
quest_Soldier37_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier37_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier38,,,,,"Soldier Class 38/100","Clase Soldado 38/100",,
quest_Soldier38_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier38_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier39,,,,,"Soldier Class 39/100","Clase Soldado 39/100",,
quest_Soldier39_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier39_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier40,,,,,"Soldier Class 40/100","Clase Soldado 40/100",,
quest_Soldier40_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier40_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier41,,,,,"Soldier Class 41/100","Clase Soldado 41/100",,
quest_Soldier41_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier41_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier42,,,,,"Soldier Class 42/100","Clase Soldado 42/100",,
quest_Soldier42_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier42_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier43,,,,,"Soldier Class 43/100","Clase Soldado 43/100",,
quest_Soldier43_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier43_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier44,,,,,"Soldier Class 44/100","Clase Soldado 44/100",,
quest_Soldier44_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier44_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier45,,,,,"Soldier Class 45/100","Clase Soldado 45/100",,
quest_Soldier45_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier45_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier46,,,,,"Soldier Class 46/100","Clase Soldado 46/100",,
quest_Soldier46_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier46_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier47,,,,,"Soldier Class 47/100","Clase Soldado 47/100",,
quest_Soldier47_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier47_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier48,,,,,"Soldier Class 48/100","Clase Soldado 48/100",,
quest_Soldier48_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier48_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier49,,,,,"Soldier Class 49/100","Clase Soldado 49/100",,
quest_Soldier49_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier49_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier50,,,,,"Soldier Class 50/100","Clase Soldado 50/100",,
quest_Soldier50_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier50_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier51,,,,,"Soldier Class 51/100","Clase Soldado 51/100",,
quest_Soldier51_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier51_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier52,,,,,"Soldier Class 52/100","Clase Soldado 52/100",,
quest_Soldier52_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier52_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier53,,,,,"Soldier Class 53/100","Clase Soldado 53/100",,
quest_Soldier53_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier53_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier54,,,,,"Soldier Class 54/100","Clase Soldado 54/100",,
quest_Soldier54_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier54_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier55,,,,,"Soldier Class 55/100","Clase Soldado 55/100",,
quest_Soldier55_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier55_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier56,,,,,"Soldier Class 56/100","Clase Soldado 56/100",,
quest_Soldier56_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier56_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier57,,,,,"Soldier Class 57/100","Clase Soldado 57/100",,
quest_Soldier57_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier57_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier58,,,,,"Soldier Class 58/100","Clase Soldado 58/100",,
quest_Soldier58_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier58_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier59,,,,,"Soldier Class 59/100","Clase Soldado 59/100",,
quest_Soldier59_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier59_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier60,,,,,"Soldier Class 60/100","Clase Soldado 60/100",,
quest_Soldier60_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier60_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier61,,,,,"Soldier Class 61/100","Clase Soldado 61/100",,
quest_Soldier61_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier61_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier62,,,,,"Soldier Class 62/100","Clase Soldado 62/100",,
quest_Soldier62_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier62_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier63,,,,,"Soldier Class 63/100","Clase Soldado 63/100",,
quest_Soldier63_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier63_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier64,,,,,"Soldier Class 64/100","Clase Soldado 64/100",,
quest_Soldier64_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier64_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier65,,,,,"Soldier Class 65/100","Clase Soldado 65/100",,
quest_Soldier65_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier65_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier66,,,,,"Soldier Class 66/100","Clase Soldado 66/100",,
quest_Soldier66_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier66_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier67,,,,,"Soldier Class 67/100","Clase Soldado 67/100",,
quest_Soldier67_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier67_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier68,,,,,"Soldier Class 68/100","Clase Soldado 68/100",,
quest_Soldier68_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier68_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier69,,,,,"Soldier Class 69/100","Clase Soldado 69/100",,
quest_Soldier69_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier69_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier70,,,,,"Soldier Class 70/100","Clase Soldado 70/100",,
quest_Soldier70_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier70_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier71,,,,,"Soldier Class 71/100","Clase Soldado 71/100",,
quest_Soldier71_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier71_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier72,,,,,"Soldier Class 72/100","Clase Soldado 72/100",,
quest_Soldier72_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier72_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
